Long,Lat,1906-1978-ft,1906-78-m,1908-2000-m,2000-2024-m,Total-Sub-m,GPS
-95.7404,29.6167,1.4,0.43,0.55,0.06,0.61,P059
-95.8196,29.6859,1.25,0.38,0.45,0.15,0.6,P060
-95.9724,29.6754,0.1,0.03,0.15,0.1,0.25,P061
-95.9742,29.5933,0.1,0.03,0.1,0.1,0.2,P062
-95.5474,29.5079,1.7,0.52,0.7,0.05,0.75,P063
-95.1069,30.1065,1.05,0.32,0.35,0.2,0.55,P065
-95.7667,30.0172,0.6,0.18,0.35,0.3,0.65,P066
-95.8548,29.5318,0.3,0.09,0.15,0.1,0.25,P067
-95.5868,30.1848,0.4,0.12,0.2,0.3,0.5,P068
-95.4589,30.199,0.5,0.15,0.25,0.35,0.6,P069
-95.4243,30.2911,0.3,0.09,0.2,0.15,0.35,P070
-95.5789,30.353,0.2,0.06,0.1,0.2,0.3,P071
-95.2425,30.147,0.7,0.21,0.4,0.25,0.65,P072
-95.7302,30.1934,0.2,0.06,0.1,0.2,0.3,P073
-95.2312,29.7356,7.5,2.29,2.3,-0.06,2.24,P074
-95.0455,29.3609,2.45,0.75,0.8,0.08,0.88,P076
-95.8504,29.979,0.55,0.17,0.23,0.15,0.38,P077
-96.0157,29.7387,0.2,0.06,0.15,0.1,0.25,P078
-95.1651,29.5781,6,1.83,2,0.08,2.08,P080
-95.1698,29.5558,4.9,1.49,1.82,0.07,1.89,P081
-95.7314,29.2957,0.2,0.06,0.2,-0.04,0.16,P082
-95.1815,29.2624,1.2,0.37,0.4,0.05,0.45,P083
-95.3703,29.2969,1,0.31,0.32,-0.06,0.26,P084
-95.2782,29.3426,1.6,0.49,0.5,-0.04,0.46,P085
-95.4585,29.2577,0.5,0.15,0.2,-0.06,0.14,P086
-95.4379,29.4456,1.7,0.52,0.6,0.1,0.7,P088
-95.4932,29.7832,4.3,1.31,1.9,0.15,2.05,P091
-95.5008,29.8814,3.2,0.98,1.9,0.15,2.05,P092
-95.1974,29.4168,2.5,0.76,0.82,0,0.82,P093
-95.524,29.7217,4,1.22,1.82,0.15,1.97,P094
-95.2944,29.8079,5.8,1.77,2,0.05,2.05,P095
-95.847,29.785,1.2,0.37,0.4,0.5,0.9,P097
-95.8199,29.8032,1.25,0.38,0.5,0.4,0.9,P098
-95.5786,29.9864,1.5,0.46,1.1,0.3,1.4,P099
-95.1982,29.9341,2.8,0.85,1.15,0.1,1.25,P100
-95.4205,29.3698,1.35,0.41,0.45,0.06,0.51,P104
-95.4157,29.4918,1.96,0.6,0.8,0.08,0.88,P105
-95.3996,29.5524,2.7,0.82,1.25,0.12,1.37,P106
-95.1206,29.7717,8.5,2.59,2.8,0.1,2.9,P108
-95.0216,29.9865,1.7,0.52,0.57,0.05,0.62,P109
-95.4425,29.5482,2.3,0.7,1.15,0.2,1.35,P110
-95.8734,29.7331,1.1,0.34,0.4,0.5,0.9,P111
-95.4201,29.2009,0.1,0.03,0.1,0.05,0.15,P112
-95.6418,29.388,0.4,0.12,0.25,0.1,0.35,P113
-95.5132,29.5915,2.4,0.73,1.4,0.2,1.6,P114
-95.5106,30.199,0.4,0.12,0.2,0.3,0.5,PWES
-95.4947,29.8104,4.15,1.27,1.85,0.1,1.95,RDCT
-95.5268,30.0724,0.9,0.27,0.6,0.3,0.9,ROD1
-95.5137,29.4842,1.7,0.52,0.65,0.08,0.73,RPFB
-95.4296,29.9875,2,0.61,1.3,0.25,1.55,SESG
-95.4301,30.0536,1.2,0.37,0.8,0.3,1.1,SHSG
-96.1739,29.7622,0.2,0.06,0.1,0.05,0.15,SISD
-95.515,29.8019,4,1.22,1.85,0.15,2,SPBH
-94.817,29.3141,1.2,0.37,0.4,0.06,0.48,TDAM
-95.3399,29.714,5.9,1.8,1.93,0,1.93,THSU
-95.3952,29.7023,4.75,1.45,1.94,0,1.94,TMCC
-95.48,29.8063,4.3,1.31,1.88,0.12,2,TSFT
-95.123,29.673,7.8,2.38,2.6,0,2.6,TSI1
-94.6715,29.7778,0.3,0.09,0.1,0,0.32,TXAC
-95.242,29.4031,2.05,0.63,0.7,0.08,0.78,TXAV
-94.9374,29.7569,5.5,1.68,1.86,0,1.86,TXB6
-95.9455,29.7858,0.3,0.09,0.2,0.1,0.3,TXBH
-96.3705,30.6858,0.1,0.03,0,0,0,TXBY
-96.5725,29.7035,0.1,0.03,0.05,0,0.05,TXCF
-96.5773,29.7028,0.1,0.03,0,0,0,TXCM
-95.4412,30.349,0.2,0.06,0.10,0.35,0.45,TXCN
-95.0936,30.3351,0.1,0.03,0.05,0.05,0.1,TXCV
-95.6259,30.0964,0.7,0.21,0.35,0.3,0.65,TXCY
-96.634,28.9682,0.2,0.06,0.04,0.04,0.08,TXED
-95.227,29.611,6,1.83,2.1,0,2.1,TXET
-94.7726,29.3279,1.1,0.34,0.38,0.07,0.45,TXGA
-94.7893,29.2851,0.8,0.24,0.1,0.07,0.34,TXGV
-94.3909,29.5635,0,0,0,0,0,TXHD
-96.0635,30.099,0.2,0.06,0.08,0.15,0.23,TXHE
-95.5555,29.7161,3.3,1.01,1.65,0.15,1.8,TXHS
-95.433,29.7794,4.75,1.45,1.9,0.1,2,TXHU
