-94.1797	30.1617	-6	TXBM
 -95.946        29.786   -15     TXBH
-96.5725	29.7035	-4	TXCF
-96.5773	29.7028	-4	TXCM
-95.4412	30.3490	-40	TXCN
-95.0936	30.3351	-15	TXCV
-95.6259	30.0964	-55	TXCY
-96.6340	28.9682	0	TXED
-95.1192	29.5637	-3	TXEX
-94.7726	29.3279	-5	TXGA
-96.0635	30.0990	-6	TXHE
-95.5555	29.7161	-20	TXHS
-95.55259	30.72071	-3	TXHV
-94.3324	30.3955	-2	TXKO
-95.8294	29.8220	-35	TXKY
-94.7710	30.0559	3	TXLI
-95.0237	29.3922	-10	TXLM
-94.9529	29.3580	-6	TXLQ
-95.9636	28.9829	3	TXMG
#-93.7750	30.8480	-2	TXNE
-96.0667	30.3816	-3	TXNV
-95.0424	29.6675	-3	TXP5
-93.95293	29.94742	-2	TXPT
-96.6185	28.6382	0	TXPV
-95.8285	29.5425	-8	TXRN
-95.8075	29.5191	-15	TXRO
-93.89723	29.73094	-4	TXSP
-95.2974	29.8975	-10	TXTG
-96.9096	28.83493	0	TXVA
-96.95838	28.83421	0	TXVC
-96.1118	29.3246	-5	TXWH
-94.3715	29.8058	-5	TXWI
-96.0921	29.3288	-3	TXWN
-94.3320	30.3950	0	TXKO
-94.4240	30.7820	0	TXWO
-95.3454	29.7225	-5	UH01
-95.4572	30.3152	-25	UH02
-95.0439	29.3904	-12	UHC0
-95.0440	29.3904	-12	UHC1
-95.0439	29.3904	-12	UHC2
-95.0439	29.3904	-12	UHC3
-95.1042	29.5777	4	UHCL
-95.7568	29.7281	-45	UHCR
-95.3594	29.7660	-4	UHDT
-96.0660	29.5263	-8	UHEB
-95.3271	29.7195	-4	UHEP
-95.4831	30.2363	-20	UHJF
-95.7481	29.7242	-40	UHKD
-95.4025	29.7192	-5	UHRI
-95.6515	29.5747	-15	UHSL
-94.9784	30.0576	-3	UHWL
-95.5678	29.7859	-35	UTEX
-95.5814	29.7828	-37	WCHT
-95.2287	29.6877	3	WEPD
-95.5054	30.1943	-38	WHCR
-95.3314	29.9619	-35	ZHU1
-95.0307	29.7578	-4	BTDeep
-95.1593	29.7102	-4	Pasadena
-95.2741	29.7017	-3	EastEnd
-95.4508	29.7270	-8	SouthWest
-95.0215	29.5648	-4	SeaBrook
-94.8950	29.4163	-3	TXCity
